"Time [s]";"Beat Sys [mmHg]";"Beat Mean [mmHg]";"Beat Dia [mmHg]";"Beat HR [bpm]";"NBP Sys [mmHg]";"NBP Dia [mmHg]";"Event";"Height Offset [cm]";
50.57;;;;;;;"Changed Finger";;
67.79;;;;;;;"Optimize Signal Quality";;
77.79;;;;;;;"Optimize Signal Quality";;
88.79;;;;;;;"Optimize Signal Quality";;
94.66;118;91;75;65;;;;;
95.68;118;91;75;65;;;;;
96.66;118;91;75;65;;;;;
97.63;118;91;75;65;;;;;
98.57;118;91;75;65;;;;;
99.49;116;89;74;64;;;;;
100.43;116;89;74;64;;;;;
101.36;116;89;74;64;;;;;
102.27;116;89;74;64;;;;;
103.16;116;89;74;64;;;;;
104.00;114;88;74;68;;;;;
104.84;114;88;74;68;;;;;
105.72;114;88;74;68;;;;;
106.69;114;88;74;68;;;;;
107.69;114;88;74;68;;;;;
108.69;118;92;76;62;;;;;
109.65;118;92;76;62;;;;;
110.58;118;92;76;62;;;;;
111.47;118;92;76;62;;;;;
112.31;118;92;76;62;;;;;
113.12;114;89;74;70;;;;;
113.92;114;89;74;70;;;;;
114.74;114;89;74;70;;;;;
115.54;114;89;74;70;;;;;
116.43;114;89;74;70;;;;;
117.31;119;97;83;70;;;;;
118.20;119;97;83;70;;;;;
119.06;119;97;83;70;;;;;
119.98;119;97;83;70;;;;;
120.94;119;97;83;70;;;;;
121.89;115;91;76;64;;;;;
122.86;115;91;76;64;;;;;
123.82;115;91;76;64;;;;;
124.74;115;91;76;64;;;;;
125.59;115;91;76;64;;;;;
126.40;109;85;71;69;;;;;
127.21;109;85;71;69;;;;;
128.06;109;85;71;69;;;;;
128.95;109;85;71;69;;;;;
129.82;109;85;71;69;;;;;
130.74;111;86;71;67;;;;;
131.64;111;86;71;67;;;;;
132.56;111;86;71;67;;;;;
133.54;111;86;71;67;;;;;
134.46;111;86;71;67;;;;;
135.34;106;82;67;66;;;;;
136.16;106;82;67;66;;;;;
136.37;;;;;134;91;"internal";;
137.02;106;82;67;66;;;;;
137.90;106;82;67;66;;;;;
138.76;106;82;67;66;;;;;
139.60;108;84;69;70;;;;;
140.47;108;84;69;70;;;;;
141.30;108;84;69;70;;;;;
142.06;108;84;69;70;;;;;
142.80;108;84;69;70;;;;;
143.53;109;87;74;78;;;;;
144.27;109;87;74;78;;;;;
145.00;109;87;74;78;;;;;
145.76;109;87;74;78;;;;;
146.63;109;87;74;78;;;;;
146.79;;;;;;;"Optimize Signal Quality";;
147.64;109;87;74;76;;;;;
148.64;109;87;74;76;;;;;
149.63;109;87;74;76;;;;;
150.53;109;87;74;76;;;;;
151.42;109;87;74;76;;;;;
152.34;109;87;74;66;;;;;
153.21;114;91;75;66;;;;;
154.13;114;91;75;66;;;;;
155.01;114;91;75;66;;;;;
155.87;114;91;75;66;;;;;
156.76;133;96;81;69;;;;;
157.66;133;96;81;69;;;;;
158.58;133;96;81;69;;;;;
159.48;133;96;81;69;;;;;
160.28;;;;;;;"NBPcal";;
160.36;132;102;91;67;;;;;
161.21;132;102;91;67;;;;;
162.07;132;102;91;67;;;;;
162.97;132;102;91;67;;;;;
163.87;132;102;91;67;;;;;
164.79;130;101;90;67;;;;;
165.73;130;101;90;67;;;;;
166.61;130;101;90;67;;;;;
167.45;130;101;90;67;;;;;
168.26;130;101;90;67;;;;;
169.06;129;103;93;72;;;;;
169.85;129;103;93;72;;;;;
170.65;129;103;93;72;;;;;
171.45;129;103;93;72;;;;;
172.29;129;103;93;72;;;;;
173.22;134;106;94;70;;;;;
174.20;134;106;94;70;;;;;
175.21;134;106;94;70;;;;;
176.22;134;106;94;70;;;;;
177.21;134;106;94;70;;;;;
178.15;129;102;90;62;;;;;
179.06;129;102;90;62;;;;;
179.93;129;102;90;62;;;;;
180.80;129;102;90;62;;;;;
181.66;129;102;90;62;;;;;
182.49;129;103;93;70;;;;;
183.34;129;103;93;70;;;;;
184.23;129;103;93;70;;;;;
185.11;129;103;93;70;;;;;
185.95;129;103;93;70;;;;;
186.76;130;104;93;71;;;;;
187.62;130;104;93;71;;;;;
188.52;130;104;93;71;;;;;
188.79;;;;;;;"Optimize Signal Quality";;
189.47;130;104;93;71;;;;;
190.38;130;104;93;71;;;;;
