"Time [s]";"Entry Name";"Entry Value";
0.00;"Category";"Adult";
0.00;"CNAP Software Version";"5.2.14";
0.00;"Cuff Controller Serial No";"8372700073";
0.00;"Cuff Serial No";"A5000004-C3C85533";
0.00;"Cuff Size";"Medium";
0.00;"Name";"NA";
0.00;"ID#";"NA";
0.00;"Gender";"NA";
0.00;"Monitor Version";"CNAP Monitor 500at";
0.00;"Software Version";"v5.2.14";
0.00;"CNAP Monitor Serial No";"050008440240";
0.00;"CNAP Interval";"00:30:00";
0.00;"NBP Measurement Type";"25 min";
0.00;"Beat Averaging";"5 beats";
0.00;"Start Recording";;
333.39;"Elapsed Cuff Lifetime";"28:41:51";
333.39;"Total Cuff Lifetime";"150:00:00";
333.39;"Stop Recording";;
