"Time [s]";"Entry Name";"Entry Value";
0.00;"Category";"Adult";
0.00;"CNAP Software Version";"5.2.14";
0.00;"Cuff Controller Serial No";"8372700073";
0.00;"Cuff Serial No";"37000004-41BD8433";
0.00;"Cuff Size";"Small";
0.00;"Name";"NA";
0.00;"ID#";"NA";
0.00;"Gender";"NA";
0.00;"Monitor Version";"CNAP Monitor 500at";
0.00;"Software Version";"v5.2.14";
0.00;"CNAP Monitor Serial No";"050008440240";
0.00;"CNAP Interval";"00:30:00";
0.00;"NBP Measurement Type";"30 min";
0.00;"Beat Averaging";"5 beats";
0.00;"Start Recording";;
205.65;"Elapsed Cuff Lifetime";"00:41:53";
205.65;"Total Cuff Lifetime";"150:00:00";
205.65;"Stop Recording";;
