"Time [s]";"Beat Sys [mmHg]";"Beat Mean [mmHg]";"Beat Dia [mmHg]";"Beat HR [bpm]";"NBP Sys [mmHg]";"NBP Dia [mmHg]";"Event";"Height Offset [cm]";
21.58;;;;;;;"Optimize Signal Quality";;
32.58;;;;;;;"Optimize Signal Quality";;
42.58;;;;;;;"Optimize Signal Quality";;
47.98;96;87;76;64;;;;;
48.80;96;87;76;64;;;;;
49.66;96;87;76;64;;;;;
50.52;96;87;76;64;;;;;
51.40;96;87;76;64;;;;;
52.22;98;84;75;69;;;;;
53.09;98;84;75;69;;;;;
54.01;98;84;75;69;;;;;
54.96;98;84;75;69;;;;;
55.88;98;84;75;69;;;;;
56.73;97;82;73;67;;;;;
57.60;97;82;73;67;;;;;
58.49;97;82;73;67;;;;;
59.33;97;82;73;67;;;;;
60.13;97;82;73;67;;;;;
60.95;93;79;70;72;;;;;
61.84;93;79;70;72;;;;;
62.76;93;79;70;72;;;;;
63.68;93;79;70;72;;;;;
64.51;93;79;70;72;;;;;
65.33;90;76;68;70;;;;;
66.21;90;76;68;70;;;;;
66.86;;;;;120;80;"external";;
67.11;90;76;68;70;;;;;
67.58;;;;;;;"Optimize Signal Quality";;
68.05;90;76;68;70;;;;;
68.88;90;76;68;70;;;;;
69.73;90;76;68;70;;;;;
70.60;90;76;68;70;;;;;
71.50;90;76;68;70;;;;;
72.36;90;76;68;70;;;;;
73.16;90;76;68;70;;;;;
73.97;95;81;71;70;;;;;
74.87;95;81;71;70;;;;;
75.78;95;81;71;70;;;;;
76.67;95;81;71;70;;;;;
77.53;95;81;71;70;;;;;
78.43;100;86;77;68;;;;;
79.37;100;86;77;68;;;;;
80.29;100;86;77;68;;;;;
81.03;;;;;;;"BPman";;
81.14;118;95;80;68;;;;;
81.98;118;95;80;68;;;;;
82.85;118;95;80;68;;;;;
83.77;118;95;80;68;;;;;
84.63;118;95;80;68;;;;;
85.45;119;94;79;70;;;;;
86.32;119;94;79;70;;;;;
87.22;119;94;79;70;;;;;
88.16;119;94;79;70;;;;;
89.04;119;94;79;70;;;;;
89.88;118;91;77;68;;;;;
90.76;118;91;77;68;;;;;
91.65;118;91;77;68;;;;;
92.54;118;91;77;68;;;;;
93.37;118;91;77;68;;;;;
94.20;120;91;77;70;;;;;
95.10;120;91;77;70;;;;;
96.07;120;91;77;70;;;;;
102.58;63;63;63;-0;;;;;
110.08;75;75;75;-0;;;;;
113.83;102;81;71;69;;;;;
114.75;102;81;71;69;;;;;
115.65;102;81;71;69;;;;;
116.49;102;81;71;69;;;;;
117.30;102;81;71;69;;;;;
118.18;115;89;77;70;;;;;
119.02;115;89;77;70;;;;;
119.90;115;89;77;70;;;;;
120.75;115;89;77;70;;;;;
121.56;115;89;77;70;;;;;
122.39;117;91;77;72;;;;;
123.28;117;91;77;72;;;;;
124.22;117;91;77;72;;;;;
125.16;117;91;77;72;;;;;
126.04;117;91;77;72;;;;;
126.93;113;86;73;67;;;;;
127.58;;;;;117;78;"internal";;
127.86;113;86;73;67;;;;;
128.79;113;86;73;67;;;;;
129.66;113;86;73;67;;;;;
130.45;113;86;73;67;;;;;
